Line Group.1 Group.2 x weekmax weekmin e abnm
279 14 2005 4744285.71428571 4860000 4550000 NA 1.66262923461044
280 15 2005 4197142.85714286 4450000 3960000 NA 0.928914744629876
281 16 2005 3732857.14285714 3890000 3600000 NA 0.0670168472955941
282 17 2005 3451428.57142857 3560000 3360000 NA -0.369184912954159
283 18 2005 3277142.85714286 3350000 3180000 NA -0.389856986368002
284 19 2005 3082857.14285714 3150000 3020000 NA -0.400643087146283
285 20 2005 2940000 3e+06 2880000 NA -0.463194260208975
286 21 2005 2805714.28571429 2860000 2750000 NA -0.563491078079706
287 22 2005 2685714.28571429 2740000 2630000 NA -0.650851001341408
288 23 2005 2574285.71428571 2610000 2550000 NA -0.75764404293411
289 24 2005 2497142.85714286 2540000 2450000 NA -0.64055118416853
290 25 2005 2342857.14285714 2420000 2270000 NA -0.680422400302753
291 26 2005 2185714.28571429 2250000 2140000 NA -0.582896817719756
292 27 2005 2067142.85714286 2110000 2e+06 NA -0.425903356619819
293 28 2005 1878571.42857143 1970000 1790000 NA -0.664533383335104
294 29 2005 1727142.85714286 1770000 1690000 NA -0.879755255440893
295 30 2005 1635714.28571429 1680000 1580000 NA -0.953227885024523
296 31 2005 1514285.71428571 1570000 1470000 NA -1.14171225578757
297 32 2005 1411428.57142857 1460000 1360000 NA -1.17195427840409
298 33 2005 1332857.14285714 1350000 1320000 NA -1.19150794081427
299 34 2005 1307142.85714286 1320000 1270000 NA -1.00237012065183
300 35 2005 1225714.28571429 1260000 1200000 NA -1.15925825924997
301 36 2005 1181428.57142857 1190000 1180000 NA -1.10920703716247
302 37 2005 1147142.85714286 1170000 1120000 NA -1.15945544825016
303 38 2005 1130000 1150000 1120000 NA -1.1221483354652
304 39 2005 1162857.14285714 1170000 1160000 NA -0.932184280907969
305 40 2005 1268571.42857143 1380000 1170000 NA -0.741438429299039
306 41 2005 1530000 1650000 1410000 NA -0.306757519519512
307 42 2005 1802857.14285714 1910000 1690000 NA 0.0754236189280923
308 43 2005 2050000 2150000 1950000 NA 0.302828471701831
309 44 2005 2240000 2280000 2180000 NA 0.417270212265653
310 45 2005 2154285.71428571 2200000 2110000 NA 0.0177015576156827
311 46 2005 2105714.28571429 2120000 2100000 NA -0.372844869467729
312 47 2005 2137142.85714286 2180000 2120000 NA -0.515453619246396
313 48 2005 2341428.57142857 2490000 2220000 NA 0.00422648351499601
314 49 2005 2670000 2790000 2530000 NA 1.22120474553968
315 50 2005 2800000 2810000 2790000 NA 1.30460621960079
316 51 2005 2797142.85714286 2820000 2780000 NA 0.654511474795205
317 52 2005 2767142.85714286 2780000 2760000 NA -0.534525945906031
318 53 2005 2785000 2790000 2780000 NA -0.841170812366345
319 1 2006 2903333.33333333 3e+06 2810000 NA -0.619507296941842
320 2 2006 3174285.71428571 3300000 3040000 NA -0.484299151083112
321 3 2006 3310000 3320000 3300000 NA -0.533872989017838
322 4 2006 3337142.85714286 3380000 3310000 NA -0.690609083739509
323 5 2006 3470000 3530000 3400000 NA -0.724096741291271
324 6 2006 3550000 3560000 3540000 NA -0.870198332285875
325 7 2006 3530000 3550000 3510000 NA -1.07727236090011
326 8 2006 3772857.14285714 4020000 3540000 NA -0.696435222543939
327 9 2006 4344285.71428571 4550000 4110000 NA 0.32200134365191
328 10 2006 4808571.42857143 5100000 4580000 NA 1.04979865285231
329 11 2006 5508571.42857143 5750000 5220000 NA 1.9975550510118
330 12 2006 5750000 5850000 5570000 NA 2.14010733510088
331 13 2006 5227142.85714286 5480000 4990000 NA 1.81571560635077
332 14 2006 4701428.57142857 4930000 4450000 NA 1.57284303070836
333 15 2006 4121428.57142857 4360000 3900000 NA 0.744116293556455
334 16 2006 3745714.28571429 3850000 3680000 NA 0.0984695394312575
335 17 2006 3637142.85714286 3660000 3610000 NA 0.0754465080968996
336 18 2006 3448571.42857143 3600000 3260000 NA 0.0407376277038581
337 19 2006 3044285.71428571 3200000 2900000 NA -0.501132254905925
338 20 2006 2757142.85714286 2860000 2660000 NA -0.95270893248422
339 21 2006 2552857.14285714 2630000 2480000 NA -1.19900256756315
340 22 2006 2405714.28571429 2460000 2370000 NA -1.30602790057693
341 23 2006 2357142.85714286 2370000 2350000 NA -1.34538112097126
342 24 2006 2362857.14285714 2390000 2350000 NA -1.10773548006141
343 25 2006 2335714.28571429 2390000 2270000 NA -0.710718840337186
344 26 2006 2230000 2280000 2130000 NA -0.392097673037576
345 27 2006 2065714.28571429 2100000 2040000 NA -0.432034056926793
346 28 2006 1967142.85714286 2020000 1890000 NA -0.237969323630355
347 29 2006 1814285.71428571 1870000 1770000 NA -0.417594059953453
348 30 2006 1730000 1760000 1690000 NA -0.414697327623962
349 31 2006 1634285.71428571 1680000 1600000 NA -0.44078142979245
350 32 2006 1581428.57142857 1600000 1550000 NA -0.121039604108224
351 33 2006 1491428.57142857 1530000 1440000 NA -0.191785626756232
352 34 2006 1380000 1430000 1340000 NA -0.549029017571423
353 35 2006 1321428.57142857 1340000 1310000 NA -0.574753984223095
354 36 2006 1334285.71428571 1340000 1330000 NA -0.206860167485129
355 37 2006 1294285.71428571 1310000 1280000 NA -0.253517701759294
356 38 2006 1267142.85714286 1270000 1260000 NA -0.285535232002795
357 39 2006 1240000 1260000 1230000 NA -0.470617306866159
358 40 2006 1312857.14285714 1410000 1230000 NA -0.478315161796955
359 41 2006 1570000 1690000 1450000 NA -0.0917110109903698
360 42 2006 1847142.85714286 1960000 1730000 NA 0.261163091708953
361 43 2006 2094285.71428571 2190000 1990000 NA 0.451146877451705
362 44 2006 2285714.28571429 2320000 2220000 NA 0.552305902612183
363 45 2006 2267142.85714286 2300000 2250000 NA 0.407426014629828
364 46 2006 2252857.14285714 2260000 2240000 NA 0.200334556728929
365 47 2006 2301428.57142857 2350000 2260000 NA 0.155013330605038
366 48 2006 2438571.42857143 2500000 2370000 NA 0.492807977848542
367 49 2006 2567142.85714286 2610000 2520000 NA 0.669023508546488
368 50 2006 2640000 2650000 2620000 NA 0.436995237372391
369 51 2006 2695714.28571429 2750000 2660000 NA 0.0353928618815593
370 52 2006 2811428.57142857 2870000 2760000 NA -0.229330741688829
371 53 2006 2900000 2910000 2890000 NA -0.281820833394848
372 1 2007 2993333.33333333 3070000 2930000 NA -0.299549224344887
373 2 2007 3224285.71428571 3330000 3100000 NA -0.343371453539296
374 3 2007 3470000 3620000 3340000 NA -0.1804122514612
375 4 2007 3767142.85714286 3880000 3660000 NA 0.276993713183342
376 5 2007 3980000 4010000 3920000 NA 0.477309315909273
377 6 2007 4031428.57142857 4050000 4010000 NA 0.246025622809519
378 7 2007 3992857.14285714 4020000 3930000 NA -0.0593442324539927
379 8 2007 4002857.14285714 4200000 3900000 NA -0.196987245574789
380 9 2007 4697142.85714286 5100000 4290000 NA 0.965136102805722
381 10 2007 5294285.71428571 5330000 5200000 NA 1.84366591535771
382 11 2007 4991428.57142857 5280000 4690000 NA 1.19941495336691
383 12 2007 4355714.28571429 4600000 4120000 NA 0.170316081208059
384 13 2007 3870000 4050000 3710000 NA -0.432400885474453
385 14 2007 3554285.71428571 3660000 3450000 NA -0.830434360404221
386 15 2007 3331428.57142857 3420000 3250000 NA -1.18406377141715
387 16 2007 3181428.57142857 3220000 3160000 NA -1.28195417096727
388 17 2007 3120000 3150000 3090000 NA -1.16268098744528
389 18 2007 3025714.28571429 3080000 2980000 NA -1.0213957536734
390 19 2007 2960000 2970000 2950000 NA -0.720719695565882
391 20 2007 2960000 2970000 2950000 NA -0.40965359292887
392 21 2007 2990000 3e+06 2980000 NA -0.100321687439228
393 22 2007 3014285.71428571 3030000 2990000 NA 0.117979033475784
394 23 2007 2848571.42857143 2950000 2790000 NA -0.0152393127819226
395 24 2007 2708571.42857143 2790000 2600000 NA 0.0950155795777138
396 25 2007 2465714.28571429 2580000 2350000 NA -0.159323631710492
397 26 2007 2171428.57142857 2300000 2070000 NA -0.644444928907558
398 27 2007 2010000 2060000 1930000 NA -0.671131368898799
399 28 2007 1865714.28571429 1910000 1830000 NA -0.726453972647085
400 29 2007 1764285.71428571 1820000 1720000 NA -0.682768516380672
401 30 2007 1678571.42857143 1710000 1660000 NA -0.708441268024268
402 31 2007 1687142.85714286 1710000 1650000 NA -0.13203808977079
403 32 2007 1580000 1640000 1520000 NA -0.129870819858609
404 33 2007 1471428.57142857 1500000 1460000 NA -0.317876729430218
405 34 2007 1411428.57142857 1450000 1380000 NA -0.353470110360269
406 35 2007 1348571.42857143 1370000 1340000 NA -0.408999040558755
407 36 2007 1307142.85714286 1330000 1280000 NA -0.367089985465218
408 37 2007 1265714.28571429 1280000 1260000 NA -0.429427943796357
409 38 2007 1275714.28571429 1280000 1260000 NA -0.233246913036394
